obs,year,cpi,exchange,export,import,m2,policy,oil,oilchange,unemployment,exportchange,importchange,m2change
103,2566,100.04,34.6291,108.8,109.9,24919069,2,83.89,2.19,1.15,0.3,1.0,-54709
104,2566,100.58,35.0376,109.4,110.8,24907324,2.25,91.19,7.3,0.98,0.6,0.8,-11745
105,2566,100.22,35.8346,109.7,112.2,25029515,2.5,82.05,-9.14,0.85,0.3,1.3,122191
106,2566,99.94,36.5168,109.6,112,25156438,2.5,75.83,-6.22,0.85,-0.1,-0.2,126923
107,2566,99.7,35.4643,109.4,110.9,25324709,2.5,71.24,-4.59,0.8,-0.2,-1.0,168271
108,2566,99.24,34.9726,109.5,110.2,25481698,2.5,75.78,4.54,0.79,0.1,-0.6,156989
109,2567,99.26,35.1766,109.8,110.4,25558611,2.5,78.41,2.63,1.08,0.3,0.2,76913
110,2567,99.48,35.8541,110,110.3,25764696,2.5,83.45,5.04,0.98,0.2,-0.1,206085
111,2567,99.51,35.9495,110.3,111.2,25863321,2.5,81.69,-1.76,0.98,0.3,0.8,98625
112,2567,100.36,36.7868,110.6,113.1,25857288,2.5,77.44,-4.25,1.1,0.3,1.7,-6033
113,2567,100.98,36.6324,110.6,112.5,25865337,2.5,81.99,4.55,1.21,0.0,-0.5,8049
114,2567,100.67,36.7057,110.5,112.7,25720980,2.5,79.14,-2.85,0.93,-0.1,0.2,-144357
115,2567,100.86,36.3001,110.7,113.1,25714896,2.5,73.18,-5.96,1.07,0.2,0.4,-6084
116,2567,100.94,34.7568,110.7,112.8,25577526,2.5,68.14,-5.04,1.1,0.0,-0.3,-137370
117,2567,100.84,33.3626,110.8,112.3,25793826,2.5,70.33,2.19,0.84,0.1,-0.4,216300
118,2567,100.77,33.3638,111,113.1,26194851,2.5,68.5,-1.83,0.97,0.2,0.7,401025
119,2567,100.64,34.4455,110.6,112.5,26280476,2.25,71.56,3.06,0.94,-0.4,-0.5,85625
120,2567,100.47,34.1885,110.8,112.9,26340781,2.25,73.43,1.87,0.78,0.2,0.4,60305
